Byte_size,Stride,Time,Chain_type
1024, 1, 1.33682e-14, linear
1024, 1, 1.37206e-14, random
2048, 1, 1.62413e-14, linear
2048, 1, 1.27719e-14, random
4096, 1, 1.25767e-14, linear
4096, 1, 1.28153e-14, random
8192, 1, 1.30917e-14, linear
8192, 1, 1.27611e-14, random
16384, 1, 1.32056e-14, linear
16384, 1, 1.27665e-14, random
32768, 1, 1.26418e-14, linear
32768, 1, 1.27556e-14, random
65536, 1, 1.39212e-14, linear
65536, 1, 1.84802e-14, random
131072, 1, 1.49999e-14, linear
131072, 1, 1.33953e-14, random
262144, 1, 1.34658e-14, linear
262144, 1, 1.49783e-14, random
524288, 1, 1.4138e-14, linear
524288, 1, 1.33194e-14, random
1048576, 1, 1.2837e-14, linear
1048576, 1, 1.28478e-14, random
2097152, 1, 1.29887e-14, linear
2097152, 1, 1.30972e-14, random
4194304, 1, 1.39971e-14, linear
4194304, 1, 1.36501e-14, random
8388608, 1, 1.5271e-14, linear
8388608, 1, 1.35363e-14, random
16777216, 1, 1.46259e-14, linear
16777216, 1, 1.49566e-14, random
33554432, 1, 1.28912e-14, linear
33554432, 1, 1.30321e-14, random
67108864, 1, 1.27556e-14, linear
67108864, 1, 1.32652e-14, random
134217728, 1, 1.27827e-14, linear
134217728, 1, 1.3043e-14, random
1024, 2, 1.26201e-14, linear
1024, 2, 1.49837e-14, random
2048, 2, 1.33357e-14, linear
2048, 2, 1.32869e-14, random
4096, 2, 1.25117e-14, linear
4096, 2, 1.34875e-14, random
8192, 2, 1.25334e-14, linear
8192, 2, 1.26635e-14, random
16384, 2, 1.75261e-14, linear
16384, 2, 1.7808e-14, random
32768, 2, 1.31514e-14, linear
32768, 2, 1.35742e-14, random
65536, 2, 1.34495e-14, linear
65536, 2, 1.36881e-14, random
131072, 2, 1.36555e-14, linear
131072, 2, 1.51626e-14, random
262144, 2, 1.26418e-14, linear
262144, 2, 1.27394e-14, random
524288, 2, 1.3314e-14, linear
524288, 2, 1.3211e-14, random
1048576, 2, 1.26255e-14, linear
1048576, 2, 1.28261e-14, random
2097152, 2, 1.28153e-14, linear
2097152, 2, 1.3726e-14, random
4194304, 2, 1.46096e-14, linear
4194304, 2, 1.29833e-14, random
8388608, 2, 1.33899e-14, linear
8388608, 2, 1.32923e-14, random
16777216, 2, 1.32869e-14, linear
16777216, 2, 1.53631e-14, random
33554432, 2, 1.37477e-14, linear
33554432, 2, 1.69407e-14, random
67108864, 2, 1.35471e-14, linear
67108864, 2, 1.41488e-14, random
134217728, 2, 1.72497e-14, linear
134217728, 2, 1.35742e-14, random
1024, 3, 1.33248e-14, linear
1024, 3, 1.24466e-14, random
2048, 3, 1.28261e-14, linear
2048, 3, 1.25659e-14, random
4096, 3, 1.27882e-14, linear
4096, 3, 1.30484e-14, random
8192, 3, 1.29291e-14, linear
8192, 3, 1.28695e-14, random
16384, 3, 1.53848e-14, linear
16384, 3, 1.36501e-14, random
32768, 3, 1.27827e-14, linear
32768, 3, 1.26906e-14, random
65536, 3, 1.28532e-14, linear
65536, 3, 1.29887e-14, random
131072, 3, 1.29725e-14, linear
131072, 3, 1.53523e-14, random
262144, 3, 1.38941e-14, linear
262144, 3, 1.38886e-14, random
524288, 3, 1.32815e-14, linear
524288, 3, 1.47939e-14, random
1048576, 3, 1.34929e-14, linear
1048576, 3, 1.28857e-14, random
2097152, 3, 1.34441e-14, linear
2097152, 3, 1.29183e-14, random
4194304, 3, 1.29616e-14, linear
4194304, 3, 1.294e-14, random
8388608, 3, 1.37206e-14, linear
8388608, 3, 1.39157e-14, random
16777216, 3, 1.6507e-14, linear
16777216, 3, 1.92283e-14, random
33554432, 3, 1.60245e-14, linear
33554432, 3, 2.30772e-14, random
67108864, 3, 1.65449e-14, linear
67108864, 3, 2.35868e-14, random
134217728, 3, 1.62413e-14, linear
134217728, 3, 2.72514e-14, random
1024, 4, 1.26418e-14, linear
1024, 4, 1.33303e-14, random
2048, 4, 1.2528e-14, linear
2048, 4, 1.27014e-14, random
4096, 4, 1.25605e-14, linear
4096, 4, 1.26526e-14, random
8192, 4, 1.25225e-14, linear
8192, 4, 1.27231e-14, random
16384, 4, 1.3108e-14, linear
16384, 4, 1.31297e-14, random
32768, 4, 1.61329e-14, linear
32768, 4, 1.3146e-14, random
65536, 4, 1.61058e-14, linear
65536, 4, 1.38398e-14, random
131072, 4, 1.28424e-14, linear
131072, 4, 1.34278e-14, random
262144, 4, 1.34387e-14, linear
262144, 4, 1.54174e-14, random
524288, 4, 1.48156e-14, linear
524288, 4, 1.28315e-14, random
1048576, 4, 1.64419e-14, linear
1048576, 4, 1.32544e-14, random
2097152, 4, 1.48536e-14, linear
2097152, 4, 1.31243e-14, random
4194304, 4, 1.33303e-14, linear
4194304, 4, 1.39266e-14, random
8388608, 4, 1.43115e-14, linear
8388608, 4, 1.46964e-14, random
16777216, 4, 1.98463e-14, linear
16777216, 4, 2.85037e-14, random
33554432, 4, 2.06432e-14, linear
33554432, 4, 2.02258e-14, random
67108864, 4, 2.03613e-14, linear
67108864, 4, 2.11799e-14, random
134217728, 4, 1.98517e-14, linear
134217728, 4, 3.32742e-14, random
1024, 5, 1.25388e-14, linear
1024, 5, 2.59992e-14, random
2048, 5, 1.33357e-14, linear
2048, 5, 1.2734e-14, random
4096, 5, 1.25442e-14, linear
4096, 5, 1.249e-14, random
8192, 5, 1.25605e-14, linear
8192, 5, 1.30972e-14, random
16384, 5, 1.31785e-14, linear
16384, 5, 1.39266e-14, random
32768, 5, 1.34333e-14, linear
32768, 5, 1.35363e-14, random
65536, 5, 1.36826e-14, linear
65536, 5, 1.36338e-14, random
131072, 5, 1.35037e-14, linear
131072, 5, 1.42356e-14, random
262144, 5, 1.53794e-14, linear
262144, 5, 1.38995e-14, random
524288, 5, 1.2837e-14, linear
524288, 5, 1.5645e-14, random
1048576, 5, 1.40513e-14, linear
1048576, 5, 1.294e-14, random
2097152, 5, 1.29725e-14, linear
2097152, 5, 1.29833e-14, random
4194304, 5, 1.28912e-14, linear
4194304, 5, 1.36338e-14, random
8388608, 5, 2.08004e-14, linear
8388608, 5, 1.48048e-14, random
16777216, 5, 2.35272e-14, linear
16777216, 5, 2.62865e-14, random
33554432, 5, 3.1225e-14, linear
33554432, 5, 2.52348e-14, random
67108864, 5, 2.4465e-14, linear
67108864, 5, 3.25694e-14, random
134217728, 5, 2.92789e-14, linear
134217728, 5, 3.37241e-14, random
1024, 6, 1.60245e-14, linear
1024, 6, 1.30646e-14, random
2048, 6, 1.26635e-14, linear
2048, 6, 1.2593e-14, random
4096, 6, 1.25767e-14, linear
4096, 6, 1.2528e-14, random
8192, 6, 1.28857e-14, linear
8192, 6, 1.58781e-14, random
16384, 6, 1.29616e-14, linear
16384, 6, 1.28315e-14, random
32768, 6, 1.25713e-14, linear
32768, 6, 1.27285e-14, random
65536, 6, 1.30592e-14, linear
65536, 6, 1.3211e-14, random
131072, 6, 1.34929e-14, linear
131072, 6, 1.28315e-14, random
262144, 6, 1.31351e-14, linear
262144, 6, 1.32002e-14, random
524288, 6, 1.33303e-14, linear
524288, 6, 1.51138e-14, random
1048576, 6, 1.29562e-14, linear
1048576, 6, 1.29942e-14, random
2097152, 6, 1.30755e-14, linear
2097152, 6, 1.3005e-14, random
4194304, 6, 1.90006e-14, linear
4194304, 6, 1.36664e-14, random
8388608, 6, 1.70979e-14, linear
8388608, 6, 1.38561e-14, random
16777216, 6, 2.58528e-14, linear
16777216, 6, 2.44379e-14, random
33554432, 6, 2.73544e-14, linear
33554432, 6, 2.73382e-14, random
67108864, 6, 2.865e-14, linear
67108864, 6, 3.77519e-14, random
134217728, 6, 2.81513e-14, linear
134217728, 6, 2.80049e-14, random
1024, 7, 1.55962e-14, linear
1024, 7, 1.48265e-14, random
2048, 7, 1.33953e-14, linear
2048, 7, 1.27719e-14, random
4096, 7, 1.25876e-14, linear
4096, 7, 1.34116e-14, random
8192, 7, 1.2528e-14, linear
8192, 7, 1.27773e-14, random
16384, 7, 1.36989e-14, linear
16384, 7, 1.2799e-14, random
32768, 7, 1.2734e-14, linear
32768, 7, 1.27285e-14, random
65536, 7, 1.40187e-14, linear
65536, 7, 1.31514e-14, random
131072, 7, 1.28586e-14, linear
131072, 7, 1.6507e-14, random
262144, 7, 1.33845e-14, linear
262144, 7, 1.29345e-14, random
524288, 7, 1.77863e-14, linear
524288, 7, 1.35851e-14, random
1048576, 7, 1.28912e-14, linear
1048576, 7, 1.30917e-14, random
2097152, 7, 1.31243e-14, linear
2097152, 7, 1.30972e-14, random
4194304, 7, 1.41488e-14, linear
4194304, 7, 1.58619e-14, random
8388608, 7, 2.25243e-14, linear
8388608, 7, 1.40242e-14, random
16777216, 7, 2.98698e-14, linear
16777216, 7, 2.81079e-14, random
33554432, 7, 3.26453e-14, linear
33554432, 7, 4.98028e-14, random
67108864, 7, 3.17075e-14, linear
67108864, 7, 4.08744e-14, random
134217728, 7, 3.19406e-14, linear
134217728, 7, 5.4389e-14, random
1024, 8, 1.26689e-14, linear
1024, 8, 1.63715e-14, random
2048, 8, 1.92446e-14, linear
2048, 8, 1.28749e-14, random
4096, 8, 1.26689e-14, linear
4096, 8, 1.62522e-14, random
8192, 8, 1.29074e-14, linear
8192, 8, 1.29779e-14, random
16384, 8, 1.24737e-14, linear
16384, 8, 1.26852e-14, random
32768, 8, 1.25984e-14, linear
32768, 8, 1.34549e-14, random
65536, 8, 1.30321e-14, linear
65536, 8, 1.34821e-14, random
131072, 8, 1.32598e-14, linear
131072, 8, 1.33194e-14, random
262144, 8, 1.31134e-14, linear
262144, 8, 1.352e-14, random
524288, 8, 1.36393e-14, linear
524288, 8, 1.37911e-14, random
1048576, 8, 1.31351e-14, linear
1048576, 8, 1.31297e-14, random
2097152, 8, 1.45175e-14, linear
2097152, 8, 1.31351e-14, random
4194304, 8, 1.43115e-14, linear
4194304, 8, 1.35417e-14, random
8388608, 8, 2.33646e-14, linear
8388608, 8, 3.76543e-14, random
16777216, 8, 3.3388e-14, linear
16777216, 8, 3.42499e-14, random
33554432, 8, 3.62774e-14, linear
33554432, 8, 3.62069e-14, random
67108864, 8, 4.34711e-14, linear
67108864, 8, 5.16785e-14, random
134217728, 8, 3.63262e-14, linear
134217728, 8, 4.00667e-14, random
1024, 9, 1.24737e-14, linear
1024, 9, 1.33357e-14, random
2048, 9, 1.25713e-14, linear
2048, 9, 1.36609e-14, random
4096, 9, 1.24954e-14, linear
4096, 9, 1.25063e-14, random
8192, 9, 1.25984e-14, linear
8192, 9, 1.28803e-14, random
16384, 9, 1.2696e-14, linear
16384, 9, 1.45392e-14, random
32768, 9, 1.65178e-14, linear
32768, 9, 1.30809e-14, random
65536, 9, 1.37856e-14, linear
65536, 9, 1.31243e-14, random
131072, 9, 1.39428e-14, linear
131072, 9, 1.35092e-14, random
262144, 9, 1.70111e-14, linear
262144, 9, 1.28261e-14, random
524288, 9, 1.30863e-14, linear
524288, 9, 1.39374e-14, random
1048576, 9, 1.32977e-14, linear
1048576, 9, 1.33032e-14, random
2097152, 9, 1.36664e-14, linear
2097152, 9, 1.34658e-14, random
4194304, 9, 1.36772e-14, linear
4194304, 9, 1.34549e-14, random
8388608, 9, 2.71593e-14, linear
8388608, 9, 2.43945e-14, random
16777216, 9, 4.04624e-14, linear
16777216, 9, 5.56955e-14, random
33554432, 9, 4.99492e-14, linear
33554432, 9, 5.71754e-14, random
67108864, 9, 8.71861e-14, linear
67108864, 9, 1.03959e-13, random
134217728, 9, 4.08419e-14, linear
134217728, 9, 4.23977e-14, random
1024, 10, 1.26797e-14, linear
1024, 10, 1.27177e-14, random
2048, 10, 1.25442e-14, linear
2048, 10, 1.66154e-14, random
4096, 10, 1.24846e-14, linear
4096, 10, 1.25225e-14, random
8192, 10, 1.25605e-14, linear
8192, 10, 2.01553e-14, random
16384, 10, 1.6301e-14, linear
16384, 10, 1.28098e-14, random
32768, 10, 1.27719e-14, linear
32768, 10, 1.29128e-14, random
65536, 10, 2.14997e-14, linear
65536, 10, 1.43928e-14, random
131072, 10, 1.36772e-14, linear
131072, 10, 1.33194e-14, random
262144, 10, 1.27936e-14, linear
262144, 10, 1.64257e-14, random
524288, 10, 2.11419e-14, linear
524288, 10, 1.44633e-14, random
1048576, 10, 1.47397e-14, linear
1048576, 10, 1.36826e-14, random
2097152, 10, 1.50921e-14, linear
2097152, 10, 1.37477e-14, random
4194304, 10, 1.49999e-14, linear
4194304, 10, 1.45012e-14, random
8388608, 10, 2.40259e-14, linear
8388608, 10, 4.94993e-14, random
16777216, 10, 4.1281e-14, linear
16777216, 10, 5.69857e-14, random
33554432, 10, 4.40132e-14, linear
33554432, 10, 7.32487e-14, random
67108864, 10, 4.67129e-14, linear
67108864, 10, 5.1337e-14, random
134217728, 10, 4.79217e-14, linear
134217728, 10, 4.40295e-14, random
1024, 11, 1.3211e-14, linear
1024, 11, 1.63281e-14, random
2048, 11, 1.29616e-14, linear
2048, 11, 1.25551e-14, random
4096, 11, 1.25767e-14, linear
4096, 11, 1.25876e-14, random
8192, 11, 1.26255e-14, linear
8192, 11, 1.35579e-14, random
16384, 11, 1.25659e-14, linear
16384, 11, 1.30755e-14, random
32768, 11, 1.35471e-14, linear
32768, 11, 1.39374e-14, random
65536, 11, 1.455e-14, linear
65536, 11, 1.90874e-14, random
131072, 11, 1.40513e-14, linear
131072, 11, 1.34604e-14, random
262144, 11, 1.44199e-14, linear
262144, 11, 1.38236e-14, random
524288, 11, 1.39049e-14, linear
524288, 11, 1.47235e-14, random
1048576, 11, 1.41272e-14, linear
1048576, 11, 1.44036e-14, random
2097152, 11, 1.43711e-14, linear
2097152, 11, 1.44741e-14, random
4194304, 11, 1.63389e-14, linear
4194304, 11, 4.80844e-14, random
8388608, 11, 4.20779e-14, linear
8388608, 11, 1.80899e-14, random
16777216, 11, 7.79053e-14, linear
16777216, 11, 4.29344e-14, random
33554432, 11, 1.69992e-13, linear
33554432, 11, 8.80101e-14, random
67108864, 11, 1.49425e-13, linear
67108864, 11, 1.40811e-13, random
134217728, 11, 1.35162e-13, linear
134217728, 11, 1.45115e-13, random
1024, 12, 1.27448e-14, linear
1024, 12, 1.24412e-14, random
2048, 12, 1.57697e-14, linear
2048, 12, 1.2799e-14, random
4096, 12, 1.27123e-14, linear
4096, 12, 1.34549e-14, random
8192, 12, 1.25442e-14, linear
8192, 12, 1.28044e-14, random
16384, 12, 1.25388e-14, linear
16384, 12, 1.63335e-14, random
32768, 12, 1.3043e-14, linear
32768, 12, 1.28641e-14, random
65536, 12, 1.51897e-14, linear
65536, 12, 1.49295e-14, random
131072, 12, 1.44633e-14, linear
131072, 12, 1.44362e-14, random
262144, 12, 1.4615e-14, linear
262144, 12, 1.43819e-14, random
524288, 12, 1.50813e-14, linear
524288, 12, 1.56721e-14, random
1048576, 12, 1.72659e-14, linear
1048576, 12, 1.47126e-14, random
2097152, 12, 2.22966e-14, linear
2097152, 12, 1.62251e-14, random
4194304, 12, 1.7125e-14, linear
4194304, 12, 1.55475e-14, random
8388608, 12, 4.92228e-14, linear
8388608, 12, 4.50432e-14, random
16777216, 12, 4.87891e-14, linear
16777216, 12, 9.68897e-14, random
33554432, 12, 1.2664e-13, linear
33554432, 12, 8.58254e-14, random
67108864, 12, 5.74139e-14, linear
67108864, 12, 3.26876e-13, random
134217728, 12, 5.6655e-14, linear
134217728, 12, 7.85884e-14, random
1024, 13, 1.5851e-14, linear
1024, 13, 1.97813e-14, random
2048, 13, 1.83555e-14, linear
2048, 13, 1.2696e-14, random
4096, 13, 1.56017e-14, linear
4096, 13, 1.93367e-14, random
8192, 13, 1.54607e-14, linear
8192, 13, 1.31785e-14, random
16384, 13, 1.34821e-14, linear
16384, 13, 1.29074e-14, random
32768, 13, 1.32327e-14, linear
32768, 13, 1.30917e-14, random
65536, 13, 1.56017e-14, linear
65536, 13, 1.54553e-14, random
131072, 13, 1.51788e-14, linear
131072, 13, 1.68051e-14, random
262144, 13, 1.55529e-14, linear
262144, 13, 1.55854e-14, random
524288, 13, 1.62847e-14, linear
524288, 13, 1.63715e-14, random
1048576, 13, 1.75966e-14, linear
1048576, 13, 1.6057e-14, random
2097152, 13, 1.63606e-14, linear
2097152, 13, 2.4568e-14, random
4194304, 13, 2.33375e-14, linear
4194304, 13, 1.62359e-14, random
8388608, 13, 2.95608e-14, linear
8388608, 13, 2.00035e-14, random
16777216, 13, 6.42607e-14, linear
16777216, 13, 1.07287e-13, random
33554432, 13, 7.12483e-14, linear
33554432, 13, 9.07857e-14, random
67108864, 13, 8.35215e-14, linear
67108864, 13, 1.48606e-13, random
134217728, 13, 8.79938e-14, linear
134217728, 13, 2.76157e-13, random
1024, 14, 1.27556e-14, linear
1024, 14, 1.33953e-14, random
2048, 14, 1.24521e-14, linear
2048, 14, 1.24846e-14, random
4096, 14, 1.25171e-14, linear
4096, 14, 1.25063e-14, random
8192, 14, 1.25009e-14, linear
8192, 14, 1.2734e-14, random
16384, 14, 1.34441e-14, linear
16384, 14, 1.70653e-14, random
32768, 14, 1.77213e-14, linear
32768, 14, 2.01933e-14, random
65536, 14, 2.02854e-14, linear
65536, 14, 2.00632e-14, random
131072, 14, 1.616e-14, linear
131072, 14, 1.61926e-14, random
262144, 14, 1.74123e-14, linear
262144, 14, 1.68648e-14, random
524288, 14, 1.75695e-14, linear
524288, 14, 1.83555e-14, random
1048576, 14, 1.78568e-14, linear
1048576, 14, 2.00523e-14, random
2097152, 14, 1.80682e-14, linear
2097152, 14, 2.22045e-14, random
4194304, 14, 1.93096e-14, linear
4194304, 14, 1.70111e-14, random
8388608, 14, 2.7761e-14, linear
8388608, 14, 2.06595e-14, random
16777216, 14, 5.48552e-14, linear
16777216, 14, 1.70838e-13, random
33554432, 14, 1.07303e-13, linear
33554432, 14, 1.04756e-13, random
67108864, 14, 9.97303e-14, linear
67108864, 14, 1.92072e-13, random
134217728, 14, 1.47788e-13, linear
134217728, 14, 3.11475e-13, random
1024, 15, 1.25876e-14, linear
1024, 15, 1.5889e-14, random
2048, 15, 1.25171e-14, linear
2048, 15, 1.27665e-14, random
4096, 15, 1.25063e-14, linear
4096, 15, 1.25117e-14, random
8192, 15, 1.26255e-14, linear
8192, 15, 1.27231e-14, random
16384, 15, 1.40458e-14, linear
16384, 15, 1.27611e-14, random
32768, 15, 1.39645e-14, linear
32768, 15, 1.35742e-14, random
65536, 15, 1.73852e-14, linear
65536, 15, 1.73147e-14, random
131072, 15, 1.70762e-14, linear
131072, 15, 1.70545e-14, random
262144, 15, 1.70979e-14, linear
262144, 15, 2.04914e-14, random
524288, 15, 1.94018e-14, linear
524288, 15, 1.85182e-14, random
1048576, 15, 2.04155e-14, linear
1048576, 15, 2.31098e-14, random
2097152, 15, 1.83447e-14, linear
2097152, 15, 1.79056e-14, random
4194304, 15, 2.03722e-14, linear
4194304, 15, 2.04589e-14, random
8388608, 15, 2.84007e-14, linear
8388608, 15, 3.33013e-14, random
16777216, 15, 6.48516e-14, linear
16777216, 15, 2.10904e-13, random
33554432, 15, 1.1666e-13, linear
33554432, 15, 1.60451e-13, random
67108864, 15, 1.91118e-13, linear
67108864, 15, 4.70593e-13, random
134217728, 15, 2.11723e-13, linear
134217728, 15, 3.8474e-13, random
1024, 16, 1.29237e-14, linear
1024, 16, 1.31514e-14, random
2048, 16, 1.27014e-14, linear
2048, 16, 1.27177e-14, random
4096, 16, 1.26472e-14, linear
4096, 16, 1.30267e-14, random
8192, 16, 1.28641e-14, linear
8192, 16, 1.33411e-14, random
16384, 16, 1.28044e-14, linear
16384, 16, 1.57643e-14, random
32768, 16, 1.3108e-14, linear
32768, 16, 1.30701e-14, random
65536, 16, 1.26797e-14, linear
65536, 16, 1.36284e-14, random
131072, 16, 1.36501e-14, linear
131072, 16, 1.37639e-14, random
262144, 16, 1.39862e-14, linear
262144, 16, 1.43006e-14, random
524288, 16, 1.38778e-14, linear
524288, 16, 1.47451e-14, random
1048576, 16, 1.59107e-14, linear
1048576, 16, 1.41109e-14, random
2097152, 16, 1.56017e-14, linear
2097152, 16, 1.60679e-14, random
4194304, 16, 1.8979e-14, linear
4194304, 16, 1.45337e-14, random
8388608, 16, 2.87151e-14, linear
8388608, 16, 2.86121e-14, random
16777216, 16, 6.03575e-14, linear
16777216, 16, 6.03955e-14, random
33554432, 16, 6.22549e-14, linear
33554432, 16, 6.46456e-14, random
67108864, 16, 6.97793e-14, linear
67108864, 16, 7.2609e-14, random
134217728, 16, 6.25151e-14, linear
134217728, 16, 1.61562e-13, random
1024, 17, 1.30321e-14, linear
1024, 17, 1.33086e-14, random
2048, 17, 1.24792e-14, linear
2048, 17, 1.25334e-14, random
