Byte_size,Stride,Time,Chain_type
4096, 17, 1.24792e-14, linear
4096, 17, 1.24521e-14, random
8192, 17, 1.25605e-14, linear
8192, 17, 1.35634e-14, random
16384, 17, 1.25496e-14, linear
16384, 17, 1.56721e-14, random
32768, 17, 1.35851e-14, linear
32768, 17, 1.3623e-14, random
65536, 17, 1.36935e-14, linear
65536, 17, 1.3249e-14, random
131072, 17, 1.33411e-14, linear
131072, 17, 1.39266e-14, random
262144, 17, 1.41814e-14, linear
262144, 17, 1.4035e-14, random
524288, 17, 1.96024e-14, linear
524288, 17, 1.3417e-14, random
1048576, 17, 1.61275e-14, linear
1048576, 17, 1.52981e-14, random
2097152, 17, 1.45608e-14, linear
2097152, 17, 1.4859e-14, random
4194304, 17, 1.63227e-14, linear
4194304, 17, 1.50108e-14, random
8388608, 17, 2.8856e-14, linear
8388608, 17, 2.61835e-14, random
16777216, 17, 5.65845e-14, linear
16777216, 17, 5.77121e-14, random
33554432, 17, 7.03159e-14, linear
33554432, 17, 6.47973e-14, random
67108864, 17, 8.64272e-14, linear
67108864, 17, 8.15971e-14, random
134217728, 17, 9.15012e-14, linear
134217728, 17, 8.25999e-14, random
1024, 18, 1.25605e-14, linear
1024, 18, 1.33357e-14, random
2048, 18, 1.33519e-14, linear
2048, 18, 1.26039e-14, random
4096, 18, 1.29725e-14, linear
4096, 18, 1.55962e-14, random
8192, 18, 1.24954e-14, linear
8192, 18, 1.35308e-14, random
16384, 18, 1.25442e-14, linear
16384, 18, 1.35471e-14, random
32768, 18, 1.33465e-14, linear
32768, 18, 1.35471e-14, random
65536, 18, 1.33682e-14, linear
65536, 18, 1.29887e-14, random
131072, 18, 1.36555e-14, linear
131072, 18, 1.37314e-14, random
262144, 18, 1.7396e-14, linear
262144, 18, 1.46259e-14, random
524288, 18, 1.33574e-14, linear
524288, 18, 1.33465e-14, random
1048576, 18, 1.61221e-14, linear
1048576, 18, 1.61926e-14, random
2097152, 18, 1.74936e-14, linear
2097152, 18, 1.51517e-14, random
4194304, 18, 1.61763e-14, linear
4194304, 18, 1.73635e-14, random
8388608, 18, 3.65159e-14, linear
8388608, 18, 1.79761e-14, random
16777216, 18, 6.11924e-14, linear
16777216, 18, 5.62647e-14, random
33554432, 18, 8.01659e-14, linear
33554432, 18, 7.378e-14, random
67108864, 18, 8.73704e-14, linear
67108864, 18, 8.09628e-14, random
134217728, 18, 8.90672e-14, linear
134217728, 18, 7.90654e-14, random
1024, 19, 1.26689e-14, linear
1024, 19, 1.29779e-14, random
2048, 19, 1.28315e-14, linear
2048, 19, 1.24521e-14, random
4096, 19, 1.25713e-14, linear
4096, 19, 1.24575e-14, random
8192, 19, 1.25225e-14, linear
8192, 19, 1.36718e-14, random
16384, 19, 1.26255e-14, linear
16384, 19, 1.38398e-14, random
32768, 19, 1.35037e-14, linear
32768, 19, 1.41055e-14, random
65536, 19, 1.35525e-14, linear
65536, 19, 1.30863e-14, random
131072, 19, 1.28478e-14, linear
131072, 19, 1.38832e-14, random
262144, 19, 1.40242e-14, linear
262144, 19, 1.41868e-14, random
524288, 19, 1.41272e-14, linear
524288, 19, 1.41163e-14, random
1048576, 19, 1.59974e-14, linear
1048576, 19, 1.47289e-14, random
2097152, 19, 2.10715e-14, linear
2097152, 19, 2.17545e-14, random
4194304, 19, 2.2031e-14, linear
4194304, 19, 2.11907e-14, random
8388608, 19, 2.4915e-14, linear
8388608, 19, 1.65829e-14, random
16777216, 19, 5.54136e-14, linear
16777216, 19, 2.91542e-14, random
33554432, 19, 6.56484e-14, linear
33554432, 19, 5.77717e-14, random
67108864, 19, 5.05943e-14, linear
67108864, 19, 4.76832e-14, random
134217728, 19, 5.45787e-14, linear
134217728, 19, 4.7629e-14, random
1024, 20, 1.27231e-14, linear
1024, 20, 1.32977e-14, random
2048, 20, 1.31514e-14, linear
2048, 20, 1.4203e-14, random
4096, 20, 1.28586e-14, linear
4096, 20, 1.49783e-14, random
8192, 20, 1.25388e-14, linear
8192, 20, 1.28424e-14, random
16384, 20, 1.28803e-14, linear
16384, 20, 1.35579e-14, random
32768, 20, 1.3005e-14, linear
32768, 20, 1.39428e-14, random
65536, 20, 1.34983e-14, linear
65536, 20, 1.27827e-14, random
131072, 20, 1.36176e-14, linear
131072, 20, 1.36609e-14, random
262144, 20, 1.80194e-14, linear
262144, 20, 1.35959e-14, random
524288, 20, 1.43982e-14, linear
524288, 20, 1.43115e-14, random
1048576, 20, 1.73906e-14, linear
1048576, 20, 1.72659e-14, random
2097152, 20, 2.75984e-14, linear
2097152, 20, 2.55492e-14, random
4194304, 20, 3.77194e-14, linear
4194304, 20, 3.54046e-14, random
8388608, 20, 4.39481e-14, linear
8388608, 20, 4.10913e-14, random
16777216, 20, 5.25404e-14, linear
16777216, 20, 5.12882e-14, random
33554432, 20, 5.68285e-14, linear
33554432, 20, 5.47685e-14, random
67108864, 20, 5.12231e-14, linear
67108864, 20, 5.08545e-14, random
134217728, 20, 5.15267e-14, linear
134217728, 20, 4.82416e-14, random
1024, 21, 1.3005e-14, linear
1024, 21, 1.32435e-14, random
2048, 21, 1.27068e-14, linear
2048, 21, 1.55746e-14, random
4096, 21, 1.29942e-14, linear
4096, 21, 1.30321e-14, random
8192, 21, 1.7228e-14, linear
8192, 21, 1.28586e-14, random
16384, 21, 1.25171e-14, linear
16384, 21, 1.28207e-14, random
32768, 21, 1.3314e-14, linear
32768, 21, 1.3314e-14, random
65536, 21, 1.33519e-14, linear
65536, 21, 1.33953e-14, random
131072, 21, 1.39103e-14, linear
131072, 21, 2.70671e-14, random
262144, 21, 1.719e-14, linear
262144, 21, 1.35308e-14, random
524288, 21, 1.42139e-14, linear
524288, 21, 1.41488e-14, random
1048576, 21, 1.53415e-14, linear
1048576, 21, 1.49349e-14, random
2097152, 21, 2.95499e-14, linear
2097152, 21, 2.53107e-14, random
4194304, 21, 3.58979e-14, linear
4194304, 21, 3.17996e-14, random
8388608, 21, 4.15846e-14, linear
8388608, 21, 3.74646e-14, random
16777216, 21, 4.63822e-14, linear
16777216, 21, 4.78784e-14, random
33554432, 21, 4.89355e-14, linear
33554432, 21, 4.81548e-14, random
67108864, 21, 5.32669e-14, linear
67108864, 21, 5.0887e-14, random
134217728, 21, 5.37656e-14, linear
134217728, 21, 4.89355e-14, random
1024, 22, 1.25605e-14, linear
1024, 22, 1.33682e-14, random
2048, 22, 1.32652e-14, linear
2048, 22, 1.33248e-14, random
4096, 22, 1.25659e-14, linear
4096, 22, 1.25876e-14, random
8192, 22, 1.25605e-14, linear
8192, 22, 1.28857e-14, random
16384, 22, 1.65829e-14, linear
16384, 22, 1.34549e-14, random
32768, 22, 1.33032e-14, linear
32768, 22, 1.30158e-14, random
65536, 22, 1.64311e-14, linear
65536, 22, 1.27068e-14, random
131072, 22, 1.28261e-14, linear
131072, 22, 1.40729e-14, random
262144, 22, 1.38886e-14, linear
262144, 22, 1.39808e-14, random
524288, 22, 1.41e-14, linear
524288, 22, 1.41597e-14, random
1048576, 22, 1.71629e-14, linear
1048576, 22, 1.50162e-14, random
2097152, 22, 2.69424e-14, linear
2097152, 22, 2.64762e-14, random
4194304, 22, 3.73724e-14, linear
4194304, 22, 3.19514e-14, random
8388608, 22, 4.05112e-14, linear
8388608, 22, 3.73724e-14, random
16777216, 22, 4.96131e-14, linear
16777216, 22, 4.33518e-14, random
33554432, 22, 6.42119e-14, linear
33554432, 22, 5.52726e-14, random
67108864, 22, 6.7947e-14, linear
67108864, 22, 5.71646e-14, random
134217728, 22, 9.63151e-14, linear
134217728, 22, 6.95028e-14, random
1024, 23, 1.28098e-14, linear
1024, 23, 1.28207e-14, random
2048, 23, 1.58131e-14, linear
2048, 23, 1.36718e-14, random
4096, 23, 1.28098e-14, linear
4096, 23, 1.2799e-14, random
8192, 23, 1.34062e-14, linear
8192, 23, 1.31188e-14, random
16384, 23, 1.28966e-14, linear
16384, 23, 1.3249e-14, random
32768, 23, 1.33791e-14, linear
32768, 23, 1.35525e-14, random
65536, 23, 1.33519e-14, linear
65536, 23, 1.27448e-14, random
131072, 23, 1.44633e-14, linear
131072, 23, 1.35634e-14, random
262144, 23, 1.28044e-14, linear
262144, 23, 1.33519e-14, random
524288, 23, 1.34712e-14, linear
524288, 23, 1.38182e-14, random
1048576, 23, 1.78351e-14, linear
1048576, 23, 1.61871e-14, random
2097152, 23, 1.98734e-14, linear
2097152, 23, 1.79219e-14, random
4194304, 23, 3.69442e-14, linear
4194304, 23, 3.16424e-14, random
8388608, 23, 4.11888e-14, linear
8388608, 23, 3.8229e-14, random
16777216, 23, 5.49148e-14, linear
16777216, 23, 4.07009e-14, random
33554432, 23, 6.58436e-14, linear
33554432, 23, 5.6926e-14, random
67108864, 23, 6.31602e-14, linear
67108864, 23, 7.4669e-14, random
134217728, 23, 5.07678e-14, linear
134217728, 23, 4.77971e-14, random
1024, 24, 1.25767e-14, linear
1024, 24, 1.249e-14, random
2048, 24, 1.39916e-14, linear
2048, 24, 1.30158e-14, random
4096, 24, 1.25713e-14, linear
4096, 24, 1.24412e-14, random
8192, 24, 1.24304e-14, linear
8192, 24, 1.26797e-14, random
16384, 24, 1.25334e-14, linear
16384, 24, 1.66805e-14, random
32768, 24, 1.35471e-14, linear
32768, 24, 1.36338e-14, random
65536, 24, 1.33519e-14, linear
65536, 24, 1.28207e-14, random
131072, 24, 1.30755e-14, linear
131072, 24, 1.28803e-14, random
262144, 24, 1.39483e-14, linear
262144, 24, 1.56342e-14, random
524288, 24, 1.38832e-14, linear
524288, 24, 1.57155e-14, random
1048576, 24, 1.41055e-14, linear
1048576, 24, 1.44145e-14, random
2097152, 24, 1.60245e-14, linear
2097152, 24, 1.52656e-14, random
4194304, 24, 3.22604e-14, linear
4194304, 24, 2.81242e-14, random
8388608, 24, 3.44397e-14, linear
8388608, 24, 1.65395e-14, random
16777216, 24, 2.8959e-14, linear
16777216, 24, 2.8791e-14, random
33554432, 24, 6.11707e-14, linear
33554432, 24, 6.1664e-14, random
67108864, 24, 7.35306e-14, linear
67108864, 24, 5.70019e-14, random
134217728, 24, 6.09918e-14, linear
134217728, 24, 6.39354e-14, random
1024, 25, 1.25876e-14, linear
1024, 25, 1.31947e-14, random
2048, 25, 1.352e-14, linear
2048, 25, 1.35254e-14, random
4096, 25, 1.26093e-14, linear
4096, 25, 1.24358e-14, random
8192, 25, 1.26201e-14, linear
8192, 25, 1.32218e-14, random
16384, 25, 1.28749e-14, linear
16384, 25, 1.31351e-14, random
32768, 25, 1.34062e-14, linear
32768, 25, 1.34441e-14, random
65536, 25, 1.49349e-14, linear
65536, 25, 1.34549e-14, random
131072, 25, 1.36067e-14, linear
131072, 25, 1.36501e-14, random
262144, 25, 1.4306e-14, linear
262144, 25, 1.43711e-14, random
524288, 25, 1.35742e-14, linear
524288, 25, 1.51843e-14, random
1048576, 25, 1.55691e-14, linear
1048576, 25, 1.34766e-14, random
2097152, 25, 1.39916e-14, linear
2097152, 25, 1.38724e-14, random
4194304, 25, 1.44687e-14, linear
4194304, 25, 1.60679e-14, random
8388608, 25, 2.23075e-14, linear
8388608, 25, 1.64745e-14, random
16777216, 25, 2.77393e-14, linear
16777216, 25, 2.95933e-14, random
33554432, 25, 4.6496e-14, linear
33554432, 25, 4.49564e-14, random
67108864, 25, 5.67688e-14, linear
67108864, 25, 5.90077e-14, random
134217728, 25, 6.61309e-14, linear
134217728, 25, 6.30897e-14, random
1024, 26, 1.27773e-14, linear
1024, 26, 1.31026e-14, random
2048, 26, 1.24792e-14, linear
2048, 26, 1.39862e-14, random
4096, 26, 1.34658e-14, linear
4096, 26, 1.24304e-14, random
8192, 26, 1.27827e-14, linear
8192, 26, 1.2631e-14, random
16384, 26, 1.25713e-14, linear
16384, 26, 1.27611e-14, random
32768, 26, 1.31188e-14, linear
32768, 26, 1.32002e-14, random
65536, 26, 1.34441e-14, linear
65536, 26, 1.28261e-14, random
131072, 26, 1.33465e-14, linear
131072, 26, 1.33845e-14, random
262144, 26, 1.28912e-14, linear
262144, 26, 1.38995e-14, random
524288, 26, 1.41217e-14, linear
524288, 26, 1.40838e-14, random
1048576, 26, 1.33736e-14, linear
1048576, 26, 1.37802e-14, random
2097152, 26, 1.97271e-14, linear
2097152, 26, 1.94669e-14, random
4194304, 26, 2.8547e-14, linear
4194304, 26, 2.18304e-14, random
8388608, 26, 1.50433e-14, linear
8388608, 26, 4.17472e-14, random
16777216, 26, 4.68158e-14, linear
16777216, 26, 2.92843e-14, random
33554432, 26, 5.64327e-14, linear
33554432, 26, 4.26905e-14, random
67108864, 26, 5.6449e-14, linear
67108864, 26, 5.65791e-14, random
134217728, 26, 8.52888e-14, linear
134217728, 26, 6.6608e-14, random
1024, 27, 1.26039e-14, linear
1024, 27, 1.56017e-14, random
2048, 27, 1.24737e-14, linear
2048, 27, 1.28098e-14, random
4096, 27, 1.2528e-14, linear
4096, 27, 1.27665e-14, random
8192, 27, 1.2593e-14, linear
8192, 27, 1.24575e-14, random
16384, 27, 1.28261e-14, linear
16384, 27, 1.90223e-14, random
32768, 27, 1.34441e-14, linear
32768, 27, 1.39862e-14, random
65536, 27, 1.35905e-14, linear
65536, 27, 1.32218e-14, random
131072, 27, 1.36935e-14, linear
131072, 27, 1.36176e-14, random
262144, 27, 1.42518e-14, linear
262144, 27, 2.2302e-14, random
524288, 27, 1.33411e-14, linear
524288, 27, 1.41109e-14, random
1048576, 27, 1.44795e-14, linear
1048576, 27, 1.39266e-14, random
2097152, 27, 1.45988e-14, linear
2097152, 27, 1.47614e-14, random
4194304, 27, 2.92789e-14, linear
4194304, 27, 3.3014e-14, random
8388608, 27, 2.52294e-14, linear
8388608, 27, 2.21719e-14, random
16777216, 27, 3.73562e-14, linear
16777216, 27, 2.65304e-14, random
33554432, 27, 5.2058e-14, linear
33554432, 27, 4.42138e-14, random
67108864, 27, 5.75711e-14, linear
67108864, 27, 5.71862e-14, random
134217728, 27, 7.11508e-14, linear
134217728, 27, 6.39517e-14, random
1024, 28, 1.26039e-14, linear
1024, 28, 1.34929e-14, random
2048, 28, 1.73093e-14, linear
2048, 28, 1.32544e-14, random
4096, 28, 1.25876e-14, linear
4096, 28, 1.24466e-14, random
8192, 28, 1.25767e-14, linear
8192, 28, 1.24737e-14, random
16384, 28, 1.25605e-14, linear
16384, 28, 1.45283e-14, random
32768, 28, 1.30158e-14, linear
32768, 28, 1.31893e-14, random
65536, 28, 1.33357e-14, linear
65536, 28, 1.28641e-14, random
131072, 28, 1.35417e-14, linear
131072, 28, 1.35796e-14, random
262144, 28, 1.5168e-14, linear
262144, 28, 1.38453e-14, random
524288, 28, 1.36393e-14, linear
524288, 28, 1.37152e-14, random
1048576, 28, 1.41922e-14, linear
1048576, 28, 1.352e-14, random
2097152, 28, 1.38615e-14, linear
2097152, 28, 1.37965e-14, random
4194304, 28, 1.41434e-14, linear
4194304, 28, 1.42085e-14, random
8388608, 28, 1.62793e-14, linear
8388608, 28, 1.5233e-14, random
16777216, 28, 2.60805e-14, linear
16777216, 28, 2.46277e-14, random
33554432, 28, 5.17761e-14, linear
33554432, 28, 4.98354e-14, random
67108864, 28, 6.6879e-14, linear
67108864, 28, 6.04822e-14, random
134217728, 28, 6.73615e-14, linear
134217728, 28, 6.4857e-14, random
1024, 29, 1.28695e-14, linear
1024, 29, 1.41976e-14, random
2048, 29, 1.29942e-14, linear
2048, 29, 1.32164e-14, random
4096, 29, 1.28478e-14, linear
4096, 29, 1.27285e-14, random
8192, 29, 1.27719e-14, linear
8192, 29, 1.294e-14, random
16384, 29, 1.26201e-14, linear
16384, 29, 1.28098e-14, random
32768, 29, 1.27556e-14, linear
32768, 29, 1.28586e-14, random
65536, 29, 1.57372e-14, linear
65536, 29, 1.26852e-14, random
131072, 29, 1.62847e-14, linear
131072, 29, 1.39212e-14, random
262144, 29, 1.41705e-14, linear
262144, 29, 1.42302e-14, random
524288, 29, 1.46205e-14, linear
524288, 29, 1.34441e-14, random
1048576, 29, 1.38507e-14, linear
1048576, 29, 1.39212e-14, random
2097152, 29, 1.53035e-14, linear
2097152, 29, 1.54987e-14, random
4194304, 29, 2.77014e-14, linear
4194304, 29, 2.50939e-14, random
8388608, 29, 4.15792e-14, linear
8388608, 29, 4.34548e-14, random
16777216, 29, 2.66388e-14, linear
16777216, 29, 2.52999e-14, random
33554432, 29, 4.5878e-14, linear
33554432, 29, 4.45228e-14, random
67108864, 29, 5.91432e-14, linear
67108864, 29, 5.50016e-14, random
134217728, 29, 6.68085e-14, linear
134217728, 29, 6.19567e-14, random
1024, 30, 1.2799e-14, linear
1024, 30, 1.30267e-14, random
2048, 30, 1.24629e-14, linear
2048, 30, 1.3417e-14, random
4096, 30, 1.57209e-14, linear
4096, 30, 1.29562e-14, random
8192, 30, 1.26093e-14, linear
8192, 30, 1.24629e-14, random
16384, 30, 1.26147e-14, linear
16384, 30, 1.37206e-14, random
32768, 30, 1.33682e-14, linear
32768, 30, 1.34875e-14, random
65536, 30, 1.34604e-14, linear
65536, 30, 1.34278e-14, random
131072, 30, 1.36772e-14, linear
131072, 30, 1.28695e-14, random
262144, 30, 1.38236e-14, linear
262144, 30, 1.45066e-14, random
524288, 30, 1.38669e-14, linear
524288, 30, 1.39374e-14, random
1048576, 30, 1.43332e-14, linear
1048576, 30, 1.33736e-14, random
2097152, 30, 1.38019e-14, linear
2097152, 30, 1.38344e-14, random
4194304, 30, 1.56396e-14, linear
4194304, 30, 2.20852e-14, random
8388608, 30, 2.38741e-14, linear
8388608, 30, 1.4962e-14, random
16777216, 30, 2.02421e-14, linear
16777216, 30, 2.59395e-14, random
33554432, 30, 4.26525e-14, linear
33554432, 30, 4.17201e-14, random
67108864, 30, 5.66821e-14, linear
67108864, 30, 6.65917e-14, random
134217728, 30, 6.40547e-14, linear
134217728, 30, 6.54153e-14, random
1024, 31, 1.28153e-14, linear
1024, 31, 1.28424e-14, random
2048, 31, 1.30104e-14, linear
2048, 31, 1.27285e-14, random
4096, 31, 1.4718e-14, linear
4096, 31, 1.35254e-14, random
8192, 31, 1.25009e-14, linear
8192, 31, 1.24629e-14, random
16384, 31, 1.88163e-14, linear
16384, 31, 1.38236e-14, random
32768, 31, 1.32381e-14, linear
32768, 31, 1.294e-14, random
65536, 31, 1.57372e-14, linear
65536, 31, 1.31405e-14, random
131072, 31, 1.661e-14, linear
131072, 31, 1.35959e-14, random
262144, 31, 1.41868e-14, linear
262144, 31, 1.43711e-14, random
524288, 31, 1.41163e-14, linear
524288, 31, 1.39212e-14, random
1048576, 31, 1.40567e-14, linear
1048576, 31, 1.35308e-14, random
2097152, 31, 1.42789e-14, linear
2097152, 31, 1.48698e-14, random
4194304, 31, 1.49783e-14, linear
4194304, 31, 1.41217e-14, random
8388608, 31, 1.5065e-14, linear
8388608, 31, 1.52168e-14, random
16777216, 31, 2.29471e-14, linear
16777216, 31, 2.35597e-14, random
33554432, 31, 4.44469e-14, linear
33554432, 31, 4.35253e-14, random
67108864, 31, 5.82217e-14, linear
67108864, 31, 5.36897e-14, random
134217728, 31, 8.09682e-14, linear
134217728, 31, 6.68302e-14, random
1024, 32, 1.25767e-14, linear
1024, 32, 1.35308e-14, random
2048, 32, 1.31785e-14, linear
2048, 32, 1.34333e-14, random
4096, 32, 1.25551e-14, linear
4096, 32, 1.26689e-14, random
8192, 32, 1.249e-14, linear
8192, 32, 1.64257e-14, random
16384, 32, 1.25713e-14, linear
16384, 32, 1.26255e-14, random
32768, 32, 1.34875e-14, linear
32768, 32, 1.33574e-14, random
65536, 32, 1.43982e-14, linear
65536, 32, 1.43386e-14, random
131072, 32, 1.42464e-14, linear
131072, 32, 1.43277e-14, random
262144, 32, 1.40946e-14, linear
262144, 32, 1.51571e-14, random
524288, 32, 1.49891e-14, linear
524288, 32, 1.48915e-14, random
1048576, 32, 1.5168e-14, linear
1048576, 32, 1.47777e-14, random
2097152, 32, 1.42952e-14, linear
2097152, 32, 1.53198e-14, random
4194304, 32, 1.52873e-14, linear
4194304, 32, 1.4035e-14, random
8388608, 32, 2.14184e-14, linear
8388608, 32, 1.50921e-14, random
16777216, 32, 1.64707e-13, linear
16777216, 32, 5.91107e-14, random
33554432, 32, 5.63839e-14, linear
33554432, 32, 5.62918e-14, random
67108864, 32, 5.72784e-14, linear
67108864, 32, 5.92571e-14, random
134217728, 32, 5.68772e-14, linear
134217728, 32, 5.73814e-14, random
